1868,56,5,1
1853,65,5,0
1875,59,2,0
1845,69,5,0
1878,56,3,0
1868,61,1,1
1847,67,5,0
1872,57,4,0
1865,54,7,1
1865,60,2,2
1867,63,2,0
1882,55,1,1
1859,65,3,0
1875,59,2,0
1877,58,2,0
1882,58,0,0
1850,73,1,0
1847,68,4,1
1841,78,0,0
1866,62,3,0
1858,62,5,0
1858,64,4,0
1850,67,3,0
1836,76,3,0
1840,75,3,0
1876,56,3,0
1873,60,2,0
1855,70,1,0
1837,75,4,0
1873,57,4,0
1866,63,1,1
1910,44,0,0
1846,76,0,0
1885,54,2,0
1843,72,4,0
1870,61,2,0
1865,61,4,0
1871,61,2,0
1868,57,4,1
1851,71,2,0
1860,60,5,1
1865,61,4,0
1844,71,4,0
1875,57,3,0
1863,63,3,0
1870,64,0,0
1861,67,1,0
1842,74,3,0
1867,55,7,0
1873,58,3,0
1856,70,1,0
1860,64,1,2
1867,61,3,0
1850,69,3,0
1888,54,1,0
1873,53,6,0
1864,59,3,2
1872,56,3,1
1896,45,3,1
1857,67,2,0
1864,60,5,0
1842,74,2,1
1852,70,2,0
1871,61,2,0
1844,73,3,0
1874,57,3,0
1866,60,4,0
1876,56,3,0
1852,71,2,0
1840,75,3,0
1856,66,3,0
1866,66,0,0
1887,54,1,0
1849,66,2,3
1890,50,3,0
1856,66,4,0
1869,59,4,0
1843,73,2,1
1849,69,4,0
1866,66,0,0
1855,70,1,0
1871,62,1,0
1862,62,3,1
1856,65,4,0
1879,57,2,0
1885,51,4,0
1880,54,2,1
1853,67,4,0
1865,66,0,0
1885,53,2,0
1876,52,5,1
1882,54,3,0
1877,59,1,0
1859,66,2,0
1881,51,5,0
1846,72,3,0
1845,72,3,0
1840,74,2,1
1875,57,3,0
1842,64,7,2
1853,62,6,1
1853,64,4,1
1854,70,1,0
1862,65,2,0
1856,67,3,0
1880,55,3,0
1849,72,2,0
1860,68,1,0
1863,65,2,0
1878,60,0,0
1853,68,3,0
1874,56,4,0
1882,55,2,0
1850,71,2,0
1867,63,2,0
1887,53,2,0
1836,74,3,0
1860,58,6,1
1881,56,1,0
1853,71,1,0
1877,57,1,1
1865,67,0,0
1870,61,2,0
1856,71,0,0
1848,71,3,0
